
LOCATION   INSTRUCTOR_ID CAPACITY SECTION_ID                                    
---------- ------------- -------- ----------                                    
L210                 101       15        117                                    
L210                 103       15         81                                    
L210                 103       25        150                                    
L210                 104       25         96                                    
L210                 105       15        129                                    
L210                 105       25         91                                    
L210                 106       25         84                                    
L210                 108       15        155                                    
L210                 108       15         86                                    
L210                 108       25        124                                    

10 rows selected.

